Store,Date,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size,Weekly_Sales,Year,Month,WeekOfYear,DayOfWeek,Holiday_Weight,Weighted_Weekly_Sales
1,1/2/2013,FALSE,74.78,2.854,0,179.73,0,0,0,210.337,7.808,0,151315,,2013,1,1,2,1,
1,1/3/2013,FALSE,54.26,3.29,0,0,3.2,0,6551.42,220.079,7.348,0,151315,,2013,1,1,3,1,
1,1/9/2013,FALSE,67.97,3.594,11472.59,0,0,0,0,223.426,6.573,0,151315,,2013,1,2,2,1,
1,1/10/2013,FALSE,63.71,3.353,0,0.09,0,0,9638.33,217.516,7.866,0,151315,,2013,1,2,3,1,
1,1/16/2013,FALSE,83.15,2.623,0,0,0,0,1300.11,211.1,7.787,0,151315,,2013,1,3,2,1,
1,1/17/2013,FALSE,58.76,3.669,0,0,0,2402.63,0,221.059,7.348,0,151315,,2013,1,3,3,1,
1,1/23/2013,FALSE,63.71,3.353,0,140.2,0,0,0,217.516,7.866,0,151315,,2013,1,4,2,1,
1,1/24/2013,FALSE,67.18,2.72,3031.81,0,0,0,0,211.814,7.838,0,151315,,2013,1,4,3,1,
1,1/30/2013,FALSE,72.03,3.81,5519.01,0,0,0,0,215.628,7.682,0,151315,,2013,1,5,2,1,
1,1/31/2013,FALSE,88.54,3.575,0,0,18.08,0,8867.17,215.361,7.962,0,151315,,2013,1,5,3,1,
1,2/1/2013,TRUE,46.5,2.625,0,66.94,0,1315.08,1605.34,211.35,8.106,0,151315,,2013,2,5,4,1,
1,2/6/2013,FALSE,69.31,3.285,0,657.4,0,0,27754.23,217.045,7.866,0,151315,,2013,2,6,2,1,
1,2/7/2013,FALSE,69.97,3.473,9335.48,0,0,79.54,7709.86,214.6,7.742,0,151315,,2013,2,6,3,1,
1,2/8/2013,FALSE,59.58,3.288,8376.85,0,0,0,0,213.823,7.742,0,151315,,2013,2,6,4,1,
1,2/13/2013,FALSE,77.72,3.786,0,0,0,1170.74,0,215.504,7.682,0,151315,,2013,2,7,2,1,
1,2/14/2013,FALSE,67.63,3.907,0,0,0,0,0,215.734,7.682,0,151315,,2013,2,7,3,1,
1,2/15/2013,FALSE,73.77,3.688,255.38,16,0,0,4567.03,221.726,7.143,0,151315,,2013,2,7,4,1,
1,2/20/2013,FALSE,59.58,3.288,404.49,0,4.59,0,0,213.823,7.742,0,151315,,2013,2,8,2,1,
1,2/21/2013,FALSE,65.93,3.787,0,0,100.04,0,3512.52,221.286,7.348,0,151315,,2013,2,8,3,1,
1,2/22/2013,FALSE,54.11,3.268,6176.69,0,0,0,2647.45,219.986,7.348,0,151315,,2013,2,8,4,1,
1,2/27/2013,FALSE,82.11,2.582,6035.13,0,0,9,1143.98,211.522,7.787,0,151315,,2013,2,9,2,1,
1,2/28/2013,FALSE,78.69,2.565,0,557.1,0,799.85,0,211.495,7.787,0,151315,,2013,2,9,3,5,
1,3/1/2013,FALSE,83.96,3.73,0,0,200,743.47,2084.52,222.439,6.908,0,151315,,2013,3,9,4,5,
1,3/5/2013,FALSE,48.91,3.172,0,270.1,0,0,2366.04,218.715,7.866,0,151315,,2013,3,10,1,1,
1,3/7/2013,FALSE,75.8,3.467,6390.33,0,0,0,0,216.376,7.962,0,151315,,2013,3,10,3,1,
1,3/8/2013,FALSE,64.61,3.906,5432.06,0,24.45,525.75,0,215.796,7.682,0,151315,,2013,3,10,4,1,
1,3/12/2013,FALSE,54.26,3.29,0,0,0,0,0,220.079,7.348,0,151315,,2013,3,11,1,1,
