Date,Store,Predicted_Weekly_Sales
2013-01-02,1,1183349.8445469216
2013-01-03,1,1150450.0724044964
2013-01-09,1,1187052.2842434123
2013-01-10,1,1177078.3115156218
2013-01-16,1,1200373.4564827383
2013-01-17,1,1138618.6787485033
2013-01-23,1,1136684.9643209428
2013-01-24,1,1154795.9124581069
2013-01-30,1,1172666.9412298054
2013-01-31,1,1232366.1126076654
2013-02-01,1,1023296.1166635975
2013-02-06,1,1255725.837417066
2013-02-07,1,1203287.8091700673
2013-02-08,1,1147149.0446416587
2013-02-13,1,1183433.8156492263
2013-02-14,1,1155752.4753692597
2013-02-15,1,1187600.310684435
2013-02-20,1,1130332.40586482
2013-02-21,1,1158439.5988568664
2013-02-22,1,1131456.4282417595
2013-02-27,1,1194470.2893687114
2013-02-28,1,1515826.331816651
2013-03-01,1,1551309.8208942115
2013-03-05,1,1101766.7757290006
2013-03-07,1,1173780.4313604683
2013-03-08,1,1155348.7091686204
2013-03-12,1,1112131.7494011223
2013-03-14,1,1203506.9738116115
2013-03-15,1,1137988.6626487076
2013-03-19,1,1192837.7958425581
2013-03-21,1,1201789.9989553094
2013-03-22,1,1198203.3809004277
2013-03-26,1,1142691.9965268746
2013-03-28,1,1304544.192538999
2013-03-29,1,1116864.638567865
2013-04-02,1,1163280.899694495
2013-04-04,1,1099143.2207495645
2013-04-05,1,1154673.1795667112
2013-04-09,1,1127525.9418591186
2013-04-11,1,1201668.3597613648
2013-04-12,1,1220452.8820726797
2013-04-16,1,1198315.1355708838
2013-04-18,1,1140190.8302391842
2013-04-19,1,1154860.96400062
2013-04-23,1,1178043.2714407519
2013-04-25,1,1120370.4708413705
2013-04-26,1,1192421.9499533921
2013-04-30,1,1173106.4734548703
2013-05-02,1,1113238.8817705065
2013-05-03,1,1091284.0011353716
2013-05-07,1,1190356.452249661
2013-05-09,1,1182590.078800045
2013-05-10,1,1182505.4218363762
2013-05-14,1,1057574.6252212897
2013-05-16,1,1114446.509945698
2013-05-17,1,1175984.683968611
2013-05-21,1,1178123.344323501
2013-05-23,1,1496934.1063456535
2013-05-24,1,1168424.9466205686
2013-05-28,1,1095256.0777253732
2013-05-30,1,1172977.0070716813
2013-05-31,1,1183024.008313775
2013-06-04,1,1164521.369454749
2013-06-06,1,1487566.4258333445
2013-06-07,1,1102632.4559476152
2013-06-11,1,1464246.9442793503
2013-06-13,1,1094858.113612011
2013-06-14,1,1080818.5171412975
2013-06-18,1,1126193.4919096306
2013-06-20,1,1122948.3046971187
2013-06-21,1,1165513.171043612
2013-06-25,1,1140047.9850099832
2013-06-27,1,1138159.1233676672
2013-06-28,1,1172168.2453340068
2013-07-02,1,1150164.8977262676
2013-07-04,1,1173957.1738298833
2013-07-05,1,1115931.4096565247
2013-07-09,1,1170554.7405247837
2013-07-11,1,1146166.006841138
2013-07-12,1,1094860.841037482
2013-07-16,1,1451239.839283742
2013-07-18,1,1104083.8026416674
2013-07-19,1,1464074.2301706076
2013-07-23,1,1100056.7201146707
2013-07-25,1,1156708.7958264574
2013-07-26,1,1095221.4465366006
2013-07-30,1,1161202.2557817474
2013-08-01,1,1166490.3386808187
2013-08-02,1,1149653.0620914176
2013-08-06,1,1175781.381437257
2013-08-08,1,1164176.380887039
2013-08-09,1,1198806.8822016418
2013-08-13,1,1128980.0788989365
2013-08-15,1,1088748.4749153927
2013-08-16,1,1171138.8697445467
2013-08-20,1,1089739.6379782185
2013-08-22,1,1204723.679048039
2013-08-23,1,1045877.3902507797
2013-08-27,1,1142574.5717626885
2013-08-29,1,1164975.0447081402
2013-08-30,1,1069016.3826160878
2013-09-03,1,1170414.0126440078
2013-09-05,1,1148289.5021776035
2013-09-06,1,1448432.9530234262
2013-09-10,1,1162763.9744105488
2013-09-12,1,1119707.8837008774
2013-09-13,1,1457241.5931837931
2013-09-17,1,1123133.901358977
2013-09-19,1,1070801.5873576403
2013-09-20,1,1125782.2438919172
2013-09-24,1,1187775.339397043
2013-09-26,1,1421660.9902506024
2013-09-27,1,1056178.2273522764
2013-10-01,1,1106065.3130907938
2013-10-03,1,1172672.0744142458
2013-10-04,1,1131107.1153922975
2013-10-08,1,1048196.4742909595
2013-10-10,1,1032435.9854413942
2013-10-11,1,1165817.6514916047
2013-10-15,1,1055540.248589784
2013-10-17,1,1155252.6364639625
2013-10-18,1,1129995.707163155
2013-10-22,1,1051454.746682845
2013-10-24,1,1156689.8324518278
2013-10-25,1,1051369.835987173
2013-10-31,1,1051767.02765394
2013-11-01,1,1061958.2796107158
2013-11-07,1,1076137.3190207258
2013-11-08,1,1069747.5042680204
2013-11-14,1,1032872.4582869783
2013-11-15,1,1146638.7085043192
2013-11-21,1,1123892.4636633843
2013-11-22,1,1026240.5488636792
2013-11-28,1,1062743.1142780483
2013-11-29,1,1067653.170044303
2013-12-05,1,1109091.4502498507
2013-12-06,1,1207448.7314832807
2013-12-12,1,1051955.7580504045
2013-12-13,1,1097567.0630265176
2013-12-19,1,1100240.571855791
2013-12-20,1,1071707.848289512
2013-12-26,1,1083801.2307592332
2013-12-27,1,1129759.7413453013
2013-01-02,2,1585963.5651705936
2013-01-03,2,1614398.716335304
2013-01-09,2,1586954.38676849
2013-01-10,2,1506658.5770438537
2013-01-16,2,1568830.7019030824
2013-01-17,2,1563118.8639334217
2013-01-23,2,1604092.5887383372
2013-01-24,2,1509008.9476836175
2013-01-30,2,1584200.061922036
2013-01-31,2,1597029.7100609094
2013-02-01,2,1434797.5218096003
2013-02-06,2,1496836.114861481
2013-02-07,2,1865438.3795151785
2013-02-08,2,1527499.9340279177
2013-02-13,2,1506580.7577351779
2013-02-14,2,1524232.5897555947
2013-02-15,2,1499085.629826948
2013-02-20,2,1501488.0170625672
2013-02-21,2,1515520.3770524114
2013-02-22,2,1593432.792826511
2013-02-27,2,1484870.7304926068
2013-02-28,2,1532148.250789091
2013-03-01,2,1512113.1904281005
2013-03-05,2,1535851.0438966975
2013-03-07,2,1530367.0117780566
2013-03-08,2,1484919.4205876216
2013-03-12,2,1957743.4669786394
2013-03-14,2,1543820.0089664385
2013-03-15,2,1554257.378759317
2013-03-19,2,1554644.6088537648
2013-03-21,2,1533997.0308642164
2013-03-22,2,1526359.0578217283
2013-03-26,2,1574831.196066603
2013-03-28,2,1473570.7635492757
2013-03-29,2,1591799.597042717
2013-04-02,2,1498039.8035908118
2013-04-04,2,1567408.2790113762
2013-04-05,2,1477859.2538967133
2013-04-09,2,1587346.8078616261
2013-04-11,2,1553179.5653156042
2013-04-12,2,1598478.2206777558
2013-04-16,2,1559269.698323518
2013-04-18,2,1497866.4306202754
2013-04-19,2,1567188.1942312047
2013-04-23,2,1502662.369470872
2013-04-25,2,1538137.3763408884
2013-04-26,2,1565483.3835571036
2013-04-30,2,1554464.7601319551
2013-05-02,2,1571585.1246921942
2013-05-03,2,1523239.5516806692
2013-05-07,2,1581613.2036466077
2013-05-09,2,1546510.1686029583
2013-05-10,2,1556817.787389174
2013-05-14,2,1571226.4250586852
2013-05-16,2,1526552.7027665824
2013-05-17,2,1598139.015609391
2013-05-21,2,1590729.238786973
2013-05-23,2,1516421.582488902
2013-05-24,2,1516823.0755069181
2013-05-28,2,1567200.9512818009
2013-05-30,2,1553708.082671307
2013-05-31,2,1480718.759947896
2013-06-04,2,1466658.636241503
2013-06-06,2,1570515.7066766992
2013-06-07,2,1604177.824351497
2013-06-11,2,1552234.320707187
2013-06-13,2,1503970.0547078177
2013-06-14,2,1548821.7126079127
2013-06-18,2,1470920.2792317644
2013-06-20,2,1584805.7566374093
2013-06-21,2,1502452.1832747236
2013-06-25,2,1546785.3356707543
2013-06-27,2,1566652.7134411037
2013-06-28,2,1439172.5207598582
2013-07-02,2,1559722.289724052
2013-07-04,2,1570116.8040150627
2013-07-05,2,1601252.7843025476
2013-07-09,2,1575146.362731047
2013-07-11,2,1532425.0323822573
2013-07-12,2,1582454.4372289628
2013-07-16,2,1454929.0742807463
2013-07-18,2,1523275.849886842
2013-07-19,2,1629210.317302145
2013-07-23,2,1564339.5184865147
2013-07-25,2,1512667.2362351269
2013-07-26,2,1887178.9904488847
2013-07-30,2,1840443.7307620943
2013-08-01,2,1675382.5189671442
2013-08-02,2,1490159.3436694965
2013-08-06,2,1549438.9375410154
2013-08-08,2,1508505.322963491
2013-08-09,2,1537044.0644716397
2013-08-13,2,1554291.9255581573
2013-08-15,2,1546773.8918759376
2013-08-16,2,1556239.616882421
2013-08-20,2,1458565.0222901106
2013-08-22,2,1418051.1265347674
2013-08-23,2,1443600.4787495136
2013-08-27,2,1951009.676411651
2013-08-29,2,1606883.357102424
2013-08-30,2,1477232.3221975043
2013-09-03,2,1493587.4093450457
2013-09-05,2,1457542.8755937219
2013-09-06,2,1459087.4317724481
2013-09-10,2,1481934.5409072489
2013-09-12,2,1537636.8942686543
2013-09-13,2,1505165.8124737442
2013-09-17,2,1446191.6101857722
2013-09-19,2,1556696.3990544453
2013-09-20,2,1526813.0993856266
2013-09-24,2,1539323.1585038751
2013-09-26,2,1444396.1656811088
2013-09-27,2,1487354.390764691
2013-10-01,2,1453377.6112946644
2013-10-03,2,1817772.3632549345
2013-10-04,2,1491160.3297944441
2013-10-08,2,1474968.7081916258
2013-10-10,2,1444489.5750837475
2013-10-11,2,1546387.534647487
2013-10-15,2,1536830.707625188
2013-10-17,2,1558897.1367801353
2013-10-18,2,1540170.1379004493
2013-10-22,2,1444586.6694771722
2013-10-24,2,1529817.9858055562
2013-10-25,2,1466322.622183174
2013-10-31,2,1471489.1668349504
2013-11-01,2,1455428.4164303467
2013-11-07,2,1533784.7173020989
2013-11-08,2,1543391.8854305074
2013-11-14,2,1503847.0849687904
2013-11-15,2,1475643.3819817677
2013-11-21,2,1428090.3575222716
2013-11-22,2,1522290.8929209486
2013-11-28,2,1549299.9758578911
2013-11-29,2,1464704.5634827167
2013-12-05,2,1514801.2125541195
2013-12-06,2,1460006.5976525396
2013-12-12,2,1486841.143124245
2013-12-13,2,1537239.7047255635
2013-12-19,2,1492608.619944021
2013-12-20,2,1355563.130831845
2013-12-26,2,1551386.8335924223
