Date,Store,Weekly_Sales,Predicted_Weekly_Sales,Combined_Sales
2010-02-05,1,1643690.9,,1643690.9
2010-02-05,2,2136989.46,,2136989.46
2010-02-05,3,461622.22,,461622.22
2010-02-05,4,2135143.87,,2135143.87
2010-02-05,5,317173.1,,317173.1
2010-02-05,6,1652635.1,,1652635.1
2010-02-05,7,496725.44,,496725.44
2010-02-05,8,1004137.09,,1004137.09
2010-02-05,9,549505.55,,549505.55
2010-02-05,10,2193048.75,,2193048.75
2010-02-05,11,1528008.64,,1528008.64
2010-02-05,12,1100046.37,,1100046.37
2010-02-05,13,1967220.53,,1967220.53
2010-02-05,14,2623469.95,,2623469.95
2010-02-05,15,652122.44,,652122.44
2010-02-05,16,477409.3,,477409.3
2010-02-05,17,789036.02,,789036.02
2010-02-05,18,1205307.5,,1205307.5
2010-02-05,19,1507637.17,,1507637.17
2010-02-05,20,2401395.47,,2401395.47
2010-02-05,21,798593.88,,798593.88
2010-02-05,22,1033017.37,,1033017.37
2010-02-05,23,1364721.58,,1364721.58
2010-02-05,24,1388725.63,,1388725.63
2010-02-05,25,677231.63,,677231.63
2010-02-05,26,1034119.21,,1034119.21
2010-02-05,27,1874289.79,,1874289.79
2010-02-05,28,1672352.29,,1672352.29
2010-02-05,29,538634.46,,538634.46
2010-02-05,30,465108.52,,465108.52
2010-02-05,31,1469252.05,,1469252.05
2010-02-05,32,1087616.19,,1087616.19
2010-02-05,33,274593.43,,274593.43
2010-02-05,34,956228.96,,956228.96
2010-02-05,35,1230613.5,,1230613.5
2010-02-05,36,467546.74,,467546.74
2010-02-05,37,536006.73,,536006.73
2010-02-05,38,358496.14,,358496.14
2010-02-05,39,1230596.8,,1230596.8
2010-02-05,40,1001943.8,,1001943.8
2010-02-05,41,1086533.18,,1086533.18
2010-02-05,42,543384.01,,543384.01
2010-02-05,43,647029.28,,647029.28
2010-02-05,44,281090.95,,281090.95
2010-02-05,45,890689.51,,890689.51
2010-02-12,1,1641957.44,,1641957.44
2010-02-12,2,2137809.5,,2137809.5
2010-02-12,3,420728.96,,420728.96
2010-02-12,4,2188307.39,,2188307.39
2010-02-12,5,311825.7,,311825.7
2010-02-12,6,1606283.86,,1606283.86
2010-02-12,7,524104.92,,524104.92
2010-02-12,8,994801.4,,994801.4
2010-02-12,9,552677.48,,552677.48
2010-02-12,10,2176028.52,,2176028.52
2010-02-12,11,1574684.08,,1574684.08
2010-02-12,12,1117863.33,,1117863.33
2010-02-12,13,2030933.46,,2030933.46
2010-02-12,14,1704218.84,,1704218.84
2010-02-12,15,682447.1,,682447.1
2010-02-12,16,472044.28,,472044.28
2010-02-12,17,841951.91,,841951.91
2010-02-12,18,1187880.7,,1187880.7
2010-02-12,19,1536549.95,,1536549.95
2010-02-12,20,2109107.9,,2109107.9
2010-02-12,21,809321.44,,809321.44
2010-02-12,22,1022571.25,,1022571.25
2010-02-12,23,1380892.08,,1380892.08
2010-02-12,24,1414107.1,,1414107.1
2010-02-12,25,583364.02,,583364.02
2010-02-12,26,1015684.09,,1015684.09
2010-02-12,27,1745362.72,,1745362.72
2010-02-12,28,1558968.49,,1558968.49
2010-02-12,29,529672.95,,529672.95
2010-02-12,30,497374.57,,497374.57
2010-02-12,31,1543947.23,,1543947.23
2010-02-12,32,1123566.12,,1123566.12
2010-02-12,33,294882.83,,294882.83
2010-02-12,34,994610.99,,994610.99
2010-02-12,35,1168815.31,,1168815.31
2010-02-12,36,469563.7,,469563.7
2010-02-12,37,529852.7,,529852.7
2010-02-12,38,342214.9,,342214.9
2010-02-12,39,1266229.07,,1266229.07
2010-02-12,40,955338.29,,955338.29
2010-02-12,41,1075656.34,,1075656.34
2010-02-12,42,575709.96,,575709.96
2010-02-12,43,682918.99,,682918.99
2010-02-12,44,286857.13,,286857.13
2010-02-12,45,656988.64,,656988.64
2010-02-19,1,1611968.17,,1611968.17
2010-02-19,2,2124451.54,,2124451.54
2010-02-19,3,421642.19,,421642.19
2010-02-19,4,2049860.26,,2049860.26
2010-02-19,5,303447.57,,303447.57
2010-02-19,6,1567138.07,,1567138.07
2010-02-19,7,506760.54,,506760.54
2010-02-19,8,963960.37,,963960.37
2010-02-19,9,511327.9,,511327.9
2010-02-19,10,2113432.58,,2113432.58
2010-02-19,11,1503298.7,,1503298.7
2010-02-19,12,1095421.65,,1095421.65
2010-02-19,13,1970274.64,,1970274.64
2010-02-19,14,2204556.7,,2204556.7
2010-02-19,15,660838.75,,660838.75
2010-02-19,16,469868.7,,469868.7
2010-02-19,17,800714.0,,800714.0
2010-02-19,18,1150663.42,,1150663.42
2010-02-19,19,1515976.11,,1515976.11
2010-02-19,20,2161549.76,,2161549.76
2010-02-19,21,867283.25,,867283.25
2010-02-19,22,988467.61,,988467.61
2010-02-19,23,1319588.04,,1319588.04
2010-02-19,24,1385362.49,,1385362.49
2010-02-19,25,676260.67,,676260.67
2010-02-19,26,999348.55,,999348.55
2010-02-19,27,1945070.33,,1945070.33
2010-02-19,28,1491300.42,,1491300.42
2010-02-19,29,542399.07,,542399.07
2010-02-19,30,463513.26,,463513.26
2010-02-19,31,1473386.75,,1473386.75
2010-02-19,32,1082559.06,,1082559.06
2010-02-19,33,296850.83,,296850.83
2010-02-19,34,983963.07,,983963.07
2010-02-19,35,1270658.64,,1270658.64
2010-02-19,36,470281.03,,470281.03
2010-02-19,37,510382.5,,510382.5
2010-02-19,38,327237.92,,327237.92
2010-02-19,39,1230591.97,,1230591.97
2010-02-19,40,916289.2,,916289.2
2010-02-19,41,1052034.74,,1052034.74
2010-02-19,42,508794.87,,508794.87
2010-02-19,43,658997.55,,658997.55
2010-02-19,44,267956.3,,267956.3
2010-02-19,45,841264.04,,841264.04
2010-02-26,1,1409727.59,,1409727.59
2010-02-26,2,1865097.27,,1865097.27
2010-02-26,3,407204.86,,407204.86
2010-02-26,4,1925728.84,,1925728.84
2010-02-26,5,270281.63,,270281.63
2010-02-26,6,1432953.21,,1432953.21
2010-02-26,7,496083.24,,496083.24
2010-02-26,8,847592.11,,847592.11
2010-02-26,9,473773.27,,473773.27
2010-02-26,10,2006774.96,,2006774.96
2010-02-26,11,1336404.65,,1336404.65
2010-02-26,12,1048617.17,,1048617.17
2010-02-26,13,1817850.32,,1817850.32
2010-02-26,14,2095591.63,,2095591.63
2010-02-26,15,564883.2,,564883.2
2010-02-26,16,443242.17,,443242.17
2010-02-26,17,749549.55,,749549.55
2010-02-26,18,1068157.45,,1068157.45
2010-02-26,19,1373270.06,,1373270.06
2010-02-26,20,1898193.95,,1898193.95
2010-02-26,21,749597.24,,749597.24
2010-02-26,22,899761.48,,899761.48
2010-02-26,23,1198709.65,,1198709.65
2010-02-26,24,1158722.74,,1158722.74
2010-02-26,25,628516.57,,628516.57
2010-02-26,26,855385.01,,855385.01
2010-02-26,27,1390934.27,,1390934.27
2010-02-26,28,1542173.33,,1542173.33
2010-02-26,29,488417.61,,488417.61
2010-02-26,30,472330.71,,472330.71
2010-02-26,31,1344354.41,,1344354.41
2010-02-26,32,1053247.1,,1053247.1
2010-02-26,33,284052.77,,284052.77
2010-02-26,34,905756.13,,905756.13
2010-02-26,35,1020651.74,,1020651.74
2010-02-26,36,447519.44,,447519.44
2010-02-26,37,513615.82,,513615.82
2010-02-26,38,334222.73,,334222.73
2010-02-26,39,1168582.02,,1168582.02
2010-02-26,40,863917.41,,863917.41
2010-02-26,41,991941.73,,991941.73
2010-02-26,42,491510.58,,491510.58
2010-02-26,43,618702.79,,618702.79
2010-02-26,44,273079.07,,273079.07
2010-02-26,45,741891.65,,741891.65
2010-03-05,1,1554806.68,,1554806.68
2010-03-05,2,1991013.13,,1991013.13
2010-03-05,3,415202.04,,415202.04
2010-03-05,4,1971057.44,,1971057.44
2010-03-05,5,288855.71,,288855.71
2010-03-05,6,1601348.82,,1601348.82
2010-03-05,7,491419.55,,491419.55
2010-03-05,8,881503.95,,881503.95
2010-03-05,9,507297.88,,507297.88
2010-03-05,10,1987090.09,,1987090.09
2010-03-05,11,1426622.65,,1426622.65
2010-03-05,12,1077018.27,,1077018.27
2010-03-05,13,1939980.43,,1939980.43
2010-03-05,14,2237544.75,,2237544.75
2010-03-05,15,605325.43,,605325.43
2010-03-05,16,444181.85,,444181.85
2010-03-05,17,783300.05,,783300.05
2010-03-05,18,1179738.5,,1179738.5
2010-03-05,19,1495844.57,,1495844.57
2010-03-05,20,2119213.72,,2119213.72
2010-03-05,21,747444.32,,747444.32
2010-03-05,22,1009201.24,,1009201.24
2010-03-05,23,1311175.93,,1311175.93
2010-03-05,24,1412387.37,,1412387.37
2010-03-05,25,665750.06,,665750.06
2010-03-05,26,1005669.58,,1005669.58
2010-03-05,27,1313729.72,,1313729.72
2010-03-05,28,1608435.45,,1608435.45
2010-03-05,29,535087.91,,535087.91
2010-03-05,30,472591.07,,472591.07
2010-03-05,31,1384870.51,,1384870.51
2010-03-05,32,1066566.74,,1066566.74
2010-03-05,33,291484.89,,291484.89
2010-03-05,34,918295.79,,918295.79
2010-03-05,35,1162610.27,,1162610.27
2010-03-05,36,480203.43,,480203.43
2010-03-05,37,519255.68,,519255.68
2010-03-05,38,372239.89,,372239.89
2010-03-05,39,1266254.21,,1266254.21
2010-03-05,40,990152.28,,990152.28
2010-03-05,41,1063557.49,,1063557.49
2010-03-05,42,554972.42,,554972.42
2010-03-05,43,658600.05,,658600.05
2010-03-05,44,284617.27,,284617.27
2010-03-05,45,777951.22,,777951.22
2010-03-12,1,1439541.59,,1439541.59
2010-03-12,2,1990483.78,,1990483.78
2010-03-12,3,384200.69,,384200.69
2010-03-12,4,1894324.09,,1894324.09
2010-03-12,5,297293.59,,297293.59
2010-03-12,6,1558621.36,,1558621.36
2010-03-12,7,480452.1,,480452.1
2010-03-12,8,860336.16,,860336.16
2010-03-12,9,494145.8,,494145.8
2010-03-12,10,1941346.13,,1941346.13
2010-03-12,11,1331883.16,,1331883.16
2010-03-12,12,985594.23,,985594.23
2010-03-12,13,1840686.94,,1840686.94
